order_id,order_date,product_name,category,quantity,unit_price,total_amount,region,sales_rep,customer_type,payment_method,discount_pct,notes
ORD-10261,05-09-2024,printer paper 5000ct,Off. Supplies,28,38.55,$1079.40,NORTH,T. Brown,Online,Net 30,20,-
ORD-10167,17/04/2024,webcam hd 1080p,Electronicss,50,$81.19,4059.5,West  ,robert johnson,Online,Wire Transfer,10,
ORD-10320,2023-01-09,Standing Desk L-Shape,furniture,9,903.81,8134.29,S,ELENA VASQUEZ,Corporate,Check,,
ORD-10440,"May 11, 2024",Printer Paper 5000 ct,office supplies,19,33.66,$639.54,Sur,carlos mendez,Retail,PayPal,,
ORD-10086,27/12/2024,LED Desk Lamp,OFFICE SUPPLIES,28,45.99,1287.72,N,S. Williams,Corporate,Check,0,-
ORD-10408,02/04/2023,Wireless Mouse M-200,Electronic,1,$25.56,25.56,West  ,sarah williams,Wholesale,Check,,-
ORD-10265,2023-10-30,USB-C Hub 7-port,Electronics,4,$52.85,211.4,Norte,fatima al-hassan,Corporate,Wire Transfer,10,
ORD-10053,2023-10-12,Whiteboard Markers (12pk),Office supplies,34,8.88,301.92,W,ELENA VASQUEZ,Online,Credit Card,0,Return pending
ORD-10469,07-Feb-24,Whiteboard Markers 12 pk,Office Supplies,25,$7.24,$181.00,south, Robert  Johnson ,Online,PayPal,0,VIP client
ORD-10073,09/02/2024,Ergo Chair X1,furniture,22,$648.30,14262.6,,maria rodriguez,Retail,Check,5,Return pending
ORD-10362,2023/03/11,Dual Monitor Arm,Furn.,25,145.49,"$3,491.76",west, James  Chen ,Online,Check,20,Backordered
ORD-10444,12/26/2023,Desk Lamp LED,office supplies,13,$40.74,529.62,Sur,thomas brown,Retail,Credit Card,0,Backordered
ORD-10030,2023/04/20,USBC Hub 7Port,electronics,42,$52.80,2217.6,central,"Chen, James",Wholesale,PayPal,15,none
ORD-10211,2024-09-03,Standing Desk L-Shape,FURNITURE,12,728.29,8739.48,C,thomas brown,Wholesale,Credit Card,5,Customer complaint
ORD-10264,30-Jun-24,Webcam 1080p HD,Electronics,48,89.44,4293.12,South,maria rodriguez,Online,Wire Transfer,10,VIP client
ORD-10084,2023-11-05,desk lamp led,Office  Supplies,4,$38.35,$153.40,East,,Corporate,Wire Transfer,0,n/a
ORD-10393,11/30/2024,Webcam HD 1080p,Electronic,20,$91.07,1912.47,Cntrl,AISHA PATEL,Online,Check,0,VIP client
ORD-10039,2024/12/08,KEYBOARD MECHANICAL,electronics,13,130.91,"$1,701.83",Central,Thomas Brown,Online,Net 30,20,N/A
ORD-10234,15/08/2023,desk lamp led,Off. Supplies,50,$51.28,"$2,564.00",Oeste, Maria  Rodriguez ,Retail,PayPal,0,Rush order
ORD-10220,04/18/2023,Laptpo Pro 15,electronics,21,1206.83,$25343.43,Norte,JAMES CHEN,Corporate,Credit Card,20,Rush order
ORD-10002,2024/01/03,Wireless Mouse  M200,Electronic,6,$28.91,173.46,,"Chen, James",Retail,Net 30,10,N/A
ORD-10140,2024/11/19,Desk Lamp  LED,Off. Supplies,4,45.79,183.16,East,C. Mendez,Retail,,20,N/A
ORD-10477,"December 31, 2024",KEYBOARD MECHANICAL,Electronicss,26,158.4,4118.4,Central,MARIA RODRIGUEZ,Wholesale,PayPal,15,
ORD-10210,2024-06-22,USB-C  Hub 7-Port,Electronic,27,45.48,1227.96,EAST,"Al-Hassan, Fatima",Online,Net 30,15,n/a
ORD-10145,2023-02-27,Printer Paper (5000ct),,14,$37.66,527.24,Cntrl,david kim,Online,,5,-
ORD-10274,07/01/2023,A5 Premium Notebook,Office Supply,44,11.5,506.0,N,Fatima Al-Hassan,Online,Check,0,Damaged in transit
ORD-10480,09-28-2023,Standing Desk L Shape,Furnitures,40,$932.95,"$37,318.00",west, Fatima  Al-Hassan ,Corporate,Credit Card,5,
ORD-10025,2023-09-25, Laptop Pro 15,Electronics,8,1447.03,11576.24,EAST,T. Brown,Retail,PayPal,5,VIP client
ORD-10449,23-Jul-23,keyboard mechanical,Electronic,11,130.4,1434.4,SOUTH,ROBERT JOHNSON,Online,PayPal,15,NULL
ORD-10474,"February 20, 2023",Standing Desk L-shape,Furnitures,45,938.61,42237.45,east,Thomas Brown,Retail,Net 30,20,none
ORD-10309,"April 09, 2023",Standing  Desk L-Shape,FURNITURE,31,$935.34,"$28,995.54",Este,FATIMA AL-HASSAN,Online,Credit Card,20,
ORD-10402,07/10/2024,Mech Keyboard,Electronicss,25,167.83,4195.75,,maria rodriguez,Retail,Net 30,5,NULL
ORD-10460,2024/05/31,Wireless Mouse  M200,Electronicss,42,32.9,1381.8,W,T. Brown,Corporate,Net 30,0,
ORD-10235,2024/09/14,Desk Lamp  LED,Off. Supplies,1,$41.27,41.27,W,ROBERT JOHNSON,Wholesale,PayPal,10,n/a
ORD-10228,04/13/2023,USB-C Hub 7-port,Electronics,37,$51.31,1898.47,W, Elena  Vasquez ,Corporate,,,
ORD-10290,"April 06, 2023",PRINTER PAPER 5000CT,,33,37.64,1242.12,Oeste,ELENA VASQUEZ,Retail,Net 30,20,Customer complaint
ORD-10487,"February 02, 2024",Printer Paper 5000 ct,Office Supply,13,34.88,453.44,Este,"Williams, Sarah",Corporate,Credit Card,0,Return pending
ORD-10396,2024-09-11,Mechanical Keyboard,Elec.,8,131.38,$1051.04, North,SARAH WILLIAMS,Online,PayPal,0,none
ORD-10299,02-18-2024,Desk Lamp LED,OFFICE SUPPLIES,13,$44.39,577.07,Central,Fatima Al-Hassan,Online,Check,0,VIP client
ORD-10083,2023-10-07,Whiteboard Markers (12pk),Office Supplies,39,$8.34,325.26,N,"Brown, Thomas",Online,Credit Card,5,n/a
ORD-10227,"July 23, 2024",Keyboard Mechanical ,ELECTRONICS,5,$131.41,657.05, North,T. Brown,Corporate,Credit Card,20,
ORD-10466,17-Nov-23,Desk Lamp - LED,Off. Supplies,9,48.69,$389.52,west,Sarah Williams,Wholesale,Wire Transfer,10,none
ORD-10172,2024/11/24,LAPTOP PRO 15,Elec.,22,$1357.70,29869.4,S,"Al-Hassan, Fatima",Corporate,Wire Transfer,20,Rush order
ORD-10117,19-Oct-24,WB Markers 12pk,office supplies,41,8.61,$353.01,West,maria rodriguez,Corporate,PayPal,,none
ORD-10072,2023/05/06,Notebook A5  Premium,,18,$11.78,212.04,N,carlos mendez,Wholesale,Credit Card,5,Backordered
ORD-10390,2024-12-18,Dual Monitor Arm,furniture,13,120.68,"$1,448.16",north,thomas brown,Corporate,PayPal,,Customer complaint
ORD-10321,05/30/2023,Monitor Arm  Dual,Furnitures,6,143.39,860.34,S,Elena Vasquez,Retail,Wire Transfer,20,none
ORD-10079,22-Feb-23,WebCam HD 1080P,ELECTRONICS,49,$78.14,3828.86,Centro,carlos mendez,Corporate,Wire Transfer,0,N/A
ORD-10009,2024/01/07,Whiteboard Markers 12 pk,office supplies,2,7.5,$15.00,Central, James  Chen ,Corporate,Credit Card,0,
ORD-10109,22-Oct-24,USB C Hub 7 Port,Electronicss,5,46.03,$230.15,W,"Kim, David",Retail,,0,N/A
ORD-10257,"April 16, 2023",WB Markers 12pk,Office Supplies,48,8.88,426.24,Centro,A. Patel,Wholesale,PayPal,15,N/A
ORD-10431,08-20-2024,Laptop Pro  15,ELECTRONICS,39,$1355.10,52848.9,Norte, Robert  Johnson ,Retail,Net 30,20,Backordered
ORD-10101,11/05/2023,Wireless Mouse M200,electronics,50,28.08,1404.0,NORTH,T. Brown,Retail,Net 30,5,
ORD-10263,25/10/2023,Ergo Chair X1,Furntiure,14,$621.31,$8698.34,Centro, David  Kim ,Retail,Check,,-
ORD-10090,"April 17, 2024",Monitor Arm Dual,Furniture,33,$113.38,"$3,741.54", North,J. Chen,Corporate,PayPal,0,none
ORD-10082,2023/11/29,Monitor Arm - Dual,Furn.,11,124.92,1374.12,south,Thomas Brown,Retail,Check,,-
ORD-10234,15/08/2023,desk lamp led,Off. Supplies,50,$51.28,"$2,564.00",Oeste, Maria  Rodriguez ,Retail,PayPal,0,Rush order
ORD-10131,2024-06-27,ERGONOMIC CHAIR X1,furniture,4,629.52,2518.08,W,Robert Johnson,Wholesale,Credit Card,0,-
ORD-10209,02-05-2023,Standing Desk L-shape,Furn.,29,$946.66,"$27,453.14",,"Al-Hassan, Fatima",Retail,Credit Card,10,n/a
ORD-10077,28-Feb-24,Notebook A5  Premium,Office supplies,29,14.5,420.5,EAST, David  Kim ,Online,,0,NULL
ORD-10393,11/30/2024,Webcam HD 1080p,Electronic,21,$91.07,1912.47,Cntrl,AISHA PATEL,Online,Check,0,VIP client
ORD-10181,09-03-2024,desk lamp led,OFFICE SUPPLIES,23,$45.44,"$1,045.12",C, Fatima  Al-Hassan ,Retail,Wire Transfer,20,
ORD-10304,05-19-2024,Whiteboard Markers 12 pk,Office supplies,24,$8.80,211.2,Sur,Sarah Williams,Corporate,PayPal,,N/A
ORD-10319,08-Apr-24,Wireless Mouse M-200,Electronic,41,29.59,$1213.19,,Sarah Williams,Retail,Wire Transfer,0,Damaged in transit
ORD-10280,10-23-2024,Whiteboard Markers 12pk,Office  Supplies,36,$7.49,$269.64,central, Aisha  Patel ,Retail,Credit Card,0,
ORD-10176,03-04-2024,keyboard mechanical,Electronic,10,150.48,1504.8,SOUTH, Fatima  Al-Hassan ,Wholesale,Net 30,0,NULL
ORD-10075,14/04/2024,Keyboard Mechanical,Electronics,43,150.96,6491.28,West  ,"Chen, James",Corporate,,0,Return pending
ORD-10231,21/02/2024,WB Markers 12pk,Office  Supplies,14,9.54,133.56,central,JAMES CHEN,Corporate,Wire Transfer,0,Rush order
ORD-10473,"July 06, 2023",Ergonomic Chair  X1,Furn.,6,$583.64,3501.84,Norte, Thomas  Brown ,Wholesale,Credit Card,,Backordered
ORD-10250,20/09/2023,keyboard mechanical,Electronicss,47,$132.05,"$6,206.35",West,james chen,Retail,Check,15,Return pending
ORD-10068,23/11/2024,USB-C  Hub 7-Port,Electronicss,49,56.99,2792.51,N,Fatima Al-Hassan,Corporate,Check,10,n/a
ORD-10453,24/07/2024,Whiteboard Markers 12 pk,Off. Supplies,3,$7.30,21.9,west, Aisha  Patel ,Corporate,PayPal,0,NULL
ORD-10063,01-27-2024,USB-C  Hub 7-Port,electronics,6,51.63,309.78,West  ,"Patel, Aisha",Online,,,Damaged in transit
ORD-10370,10/05/2024,Printer Paper (5000ct),OFFICE SUPPLIES,10,$31.74,$317.40,,sarah williams,Retail,PayPal,20,
ORD-10486,2024/10/24,A5 Premium Notebook,,50,12.61,$630.50,WEST, Aisha  Patel ,Wholesale,Check,0,N/A
ORD-10104,2023/06/29,PRINTER PAPER 5000CT,Office supplies,22,38.28,$842.16,South,Robert Johnson,Online,Wire Transfer,0,Backordered
ORD-10088,2024/10/22,monitor arm dual,furniture,47,147.86,$6949.42,east,S. Williams,Wholesale,Credit Card,0,NULL
ORD-10323,01/05/2024,Whiteboard  Markers 12pk,office supplies,41,7.98,$327.18,,maria rodriguez,Online,Net 30,0,n/a
ORD-10482,06/01/2023,Whiteboard Markers 12 pk,Office Supplies,8,$9.37,$74.96,south,FATIMA AL-HASSAN,Wholesale,Net 30,0,Rush order
ORD-10033,03/01/2024,notebook a5 premium,Office  Supplies,22,13.16,289.52,Cntrl,M. Rodriguez,Corporate,PayPal,0,N/A
ORD-10125,20-Aug-24,WEBCAM HD 1080P,Elec.,9,91.51,732.08,Centro, Carlos  Mendez ,Retail,Net 30,,Rush order
ORD-10380,2024/08/17,Wireless Mouse M-200,Electronics,14,$32.84,$459.76,Oeste,"Patel, Aisha",Corporate,Wire Transfer,5,Return pending
ORD-10000,2023-10-09,webcam hd 1080p,electronics,8,68.59,548.72,West,Maria Rodriguez,Wholesale,Wire Transfer,0,Backordered
ORD-10011,08/19/2023,Printer Paper 5000 ct,Office Supplies,29,31.01,899.29, North,maria rodriguez,Retail,,15,
ORD-10374,01/28/2024,Whiteboard Markers 12pk,Office supplies,44,7.35,$323.40,Centro,R. Johnson,Online,Check,15,Backordered
ORD-10022,10-Feb-23,standing desk l-shape,Furntiure,24,$950.62,22814.88,Este,E. Vasquez,Wholesale,Wire Transfer,0,Rush order
ORD-10381,26-Nov-24,Stand Desk L-Shape,Furntiure,37,$923.97,34186.89,,T. Brown,Corporate,,10,
ORD-10373,2023-10-05,PRINTER PAPER 5000CT,Office  Supplies,23,$35.51,816.73,N,,Corporate,Credit Card,0,
ORD-10182,2023-05-16,standing desk l-shape,Furntiure,42,$753.97,$31666.74,WEST,S. Williams,Online,PayPal,20,none
ORD-10089,"August 16, 2024",Whiteboard  Markers 12pk,Office Supply,49,8.65,$423.85,SOUTH,"Chen, James",Corporate,Check,10,
ORD-10185,12/04/2023,Webcam 1080p HD,Electronics,49,69.15,$3388.35,WEST,"Rodriguez, Maria",Wholesale,Wire Transfer,10,Rush order
ORD-10148,10/24/2024,Ergonomic Chair  X1,,17,545.69,9276.73,South,"Patel, Aisha",Retail,Credit Card,,Backordered
ORD-10204,"June 18, 2023",LED Desk Lamp,OFFICE SUPPLIES,7,40.35,282.45,C,"Mendez, Carlos",Online,PayPal,10,
ORD-10062,17-Feb-23,Keyboard Mechanical,ELECTRONICS,19,$168.14,"$3,362.80",west,C. Mendez,Corporate,Net 30,0,Rush order
ORD-10153,06/20/2024,Printer Paper 5000ct,Office  Supplies,42,39.79,1671.18,west,Carlos Mendez,Wholesale,Credit Card,5,none
ORD-10277,2024/08/03,Ergonomic Chair X1,Furn.,8,541.74,4333.92,N,james chen,Corporate,Check,15,
ORD-10184,2024/03/15,wireless mouse m200,Electronicss,35,$29.07,"$1,017.45",E,F. Al-Hassan,Wholesale,Net 30,,Return pending
ORD-10018,03/16/2023,WB Markers 12pk,Office Supply,21,9.58,201.18,central,FATIMA AL-HASSAN,Wholesale,Check,0,Customer complaint
ORD-10249,01/08/2023,USBC Hub 7Port,ELECTRONICS,3,$50.71,152.13, North,James Chen,Corporate,Wire Transfer,0,
ORD-10495,2024/10/07,Laptop Pro 15 ,Electronicss,22,1108.06,24377.32,C,"Rodriguez, Maria",Corporate,PayPal,,Customer complaint
ORD-10429,06/09/2023,USB-C  Hub 7-Port,Electronic,30,56.41,"$1,692.30",W, Thomas  Brown ,Wholesale,Net 30,,Return pending
ORD-10192,2024/04/27,Printer Paper 5000ct,Office Supplies,44,31.56,"$1,388.64",South,,Online,Net 30,20,-
ORD-10222,06/07/2023,Desk Lamp  LED,Office Supplies,36,49.59,1785.24, East ,"Brown, Thomas",Wholesale,Credit Card,0,Backordered
ORD-10015,04-Feb-24,LaptopPro15,ELECTRONICS,11,1252.79,13780.69,west,CARLOS MENDEZ,Wholesale,Credit Card,0,Return pending
ORD-10171,07-31-2023,Dual Monitor Arm,FURNITURE,19,123.87,2477.4,West  ,ROBERT JOHNSON,Retail,Check,0,
ORD-10054,"November 09, 2024",Notebook A5 Prem.,Office Supplies,45,12.97,583.65,E,David Kim,Corporate,Net 30,0,none
ORD-10348,11-16-2023,Ergo Chair X1,Furnitures,37,536.6,$19854.20,Centro,carlos mendez,Online,Net 30,0,-
ORD-10046,12-26-2024,monitor arm dual,FURNITURE,12,122.28,1467.36,C, Sarah  Williams ,Corporate,Credit Card,0,Damaged in transit
ORD-10093,16/09/2023,PRINTER PAPER 5000CT,Office Supply,44,$33.80,"$1,487.20",Norte,SARAH WILLIAMS,Online,PayPal,0,
ORD-10411,08-Jan-24,webcam hd 1080p,Electronicss,3,$69.29,$207.87,CENTRAL,Maria Rodriguez,Retail,Net 30,0,Rush order
ORD-10245,16-May-24,webcam hd 1080p,electronics,9,76.22,685.98,south,sarah williams,Retail,Net 30,0,
ORD-10497,25-Apr-24,USBC Hub 7Port,electronics,19,53.38,"$1,014.22",Cntrl,robert johnson,Online,PayPal,20,N/A
ORD-10001,2025-06-15,Laptop Pro 15,Electronics,1,"$1,299.99","$1,299.99",North,Maria Rodriguez,Retail,Credit Card,0,Future date - should not exist
ORD-10485,26/02/2023,laptop pro 15,Electronic,42,1215.34,51044.28,east,"Mendez, Carlos",Retail,Credit Card,5,Rush order
ORD-10377,12-23-2023,Whiteboard Markers (12pk),,11,7.94,87.34,Este,JAMES CHEN,Corporate,PayPal,20,Customer complaint
ORD-10394,22/11/2024,webcam hd 1080p,Elec.,38,77.38,2940.44,S,Fatima Al-Hassan,Retail,Credit Card,0,-
ORD-10328,2024-07-18,Ergonomic Chair X-1,FURNITURE,34,$631.93,21485.62,East,J. Chen,Retail,Credit Card,0,Rush order
ORD-10362,2023/03/11,Dual Monitor Arm,Furn.,24,145.49,"$3,491.76",west, James  Chen ,Online,Check,20,Backordered
ORD-10341,12-19-2023,MONITOR ARM DUAL,Furniture,23,$117.92,$2712.16,Este,R. Johnson,Wholesale,PayPal,0,Customer complaint
ORD-10481,26-Apr-24,LAPTOP PRO 15,Elec.,15,1176.42,17646.3,NORTH,"Rodriguez, Maria",Online,Net 30,,none
ORD-10410,07-06-2024,desk lamp led,Office supplies,24,$49.90,"$1,197.60",north,james chen,Corporate,PayPal,0,Rush order
ORD-10069,"August 28, 2023",Webcam HD 1080p,Electronic,24,70.59,1694.16, North, Robert  Johnson ,Online,PayPal,0,
ORD-10284,11/28/2023, Laptop Pro 15,Elec.,3,"$1,487.42",4462.26,SOUTH,ELENA VASQUEZ,Retail,Net 30,10,n/a
ORD-10155,"November 21, 2024",LAPTOP PRO 15,Electronics,33,1422.12,46929.96,Sur,FATIMA AL-HASSAN,Online,Check,20,
ORD-10188,04/15/2023,Ergo Chair X1,FURNITURE,25,$525.20,$13130.00,west,Sarah Williams,Retail,Net 30,0,none
ORD-10353,14/09/2024,Notebook A5  Premium,Off. Supplies,26,$14.07,365.82,,T. Brown,Retail,Net 30,,none
ORD-10149,07-Dec-23,Whiteboard Markers 12pk,office supplies,14,$9.43,132.02,west, Thomas  Brown ,Wholesale,PayPal,5,Return pending
ORD-10124,23/09/2024,Desk Lamp  LED,Office Supply,21,$40.44,849.24,CENTRAL,THOMAS BROWN,Corporate,Credit Card,15,Return pending
ORD-10405,26/06/2023,Keyboard Mechanical,ELECTRONICS,42,133.37,5601.54,central,,Retail,Credit Card,,Customer complaint
ORD-10494,2023-04-30,usb-c hub 7-port,Elec.,31,48.82,1513.42,,R. Johnson,Wholesale,,10,n/a
ORD-10244,"April 16, 2023",Keyboard Mechanical ,,23,$141.53,$3255.19,North,AISHA PATEL,Corporate,Net 30,15,-
ORD-10369,"January 16, 2024",Wireless Mouse  M200,electronics,32,33.38,1068.16,East,Carlos Mendez,Corporate,Net 30,0,NULL
ORD-10352,16-Jan-23,Ergonomic Chair  X1,furniture,3,$582.57,$1747.71,north,R. Johnson,Corporate,Check,,Customer complaint
ORD-10384,13/05/2024,Webcam 1080p HD,electronics,2,71.45,$142.90,WEST,"Brown, Thomas",Wholesale,,20,none
ORD-10316,11/07/2023,Monitor Arm Dual,Furn.,27,$120.62,"$3,256.74",EAST,,Corporate,PayPal,10,
ORD-10285,"December 20, 2023",Ergonomic Chair  X1,Furn.,34,582.08,19790.72,west,Carlos Mendez,Online,,0,Rush order
ORD-10395,01-Apr-24,wireless mouse m200,Elec.,34,$26.43,$898.62,South,M. Rodriguez,Retail,Credit Card,5,
ORD-10271,01-26-2023,Standing Desk L Shape,Furn.,35,906.05,31711.75, East ,CARLOS MENDEZ,Retail,Credit Card,0,
ORD-10141,03/03/2023,Mechanical Keyboard,Electronics,5,$151.84,759.2,south,ELENA VASQUEZ,Corporate,PayPal,20,n/a
ORD-10318,2024/09/19,WEBCAM HD 1080P,Elec.,16,$80.39,"$1,286.24",C,elena vasquez,Retail,Wire Transfer,0,Damaged in transit
ORD-10399,2023/09/14,LaptopPro15,Electronics,5,1132.45,$5662.25,North,ELENA VASQUEZ,Wholesale,Check,,
ORD-10457,10/01/2023,DeskLamp LED,Office supplies,33,50.42,"$1,663.86",Oeste,ELENA VASQUEZ,Retail,,0,Backordered
ORD-10019,10/07/2024,Monitor Arm  Dual,Furn.,19,-116.64,2216.16,north,Aisha Patel,Retail,Net 30,0,VIP client
ORD-10412,2023-03-14,LaptopPro15,Electronic,32,1305.8,$41785.60,east,JAMES CHEN,Wholesale,,5,-
ORD-10056,03/09/2023,LAPTOP PRO 15,ELECTRONICS,41,-1342.45,55040.45,north,"Chen, James",Retail,Wire Transfer,,Damaged in transit
ORD-10442,26/05/2023,ergonomic chair x1,FURNITURE,9,$663.12,$5968.08,South, Elena  Vasquez ,Retail,Credit Card,0,NULL
ORD-10291,2024/08/26,Whiteboard  Markers 12pk,,50,8.19,$409.50,EAST,Carlos Mendez,Online,Net 30,20,VIP client
ORD-10447,30-Jan-24,Wireles Mouse M200,Electronic,21,$29.93,628.53,Sur,ELENA VASQUEZ,Corporate,Wire Transfer,0,NULL
ORD-10346,09-Nov-23,LaptopPro15,Electronicss,16,$1464.67,23434.72,,DAVID KIM,Online,Wire Transfer,10,
ORD-10456,08/29/2024,ERGONOMIC CHAIR X1,,16,$625.61,10009.76,east,M. Rodriguez,Online,Credit Card,,-
ORD-10287,08-10-2024,LAPTOP PRO 15,electronics,16,1121.82,17949.12,S,S. Williams,Corporate,Net 30,0,Damaged in transit
ORD-10208,2023-02-21,W. Mouse M200,,3,33.97,101.91,NORTH,elena vasquez,Online,Wire Transfer,0,VIP client
ORD-10025,2023-09-25, Laptop Pro 15,Electronics,8,1447.03,11576.24,EAST,T. Brown,Retail,PayPal,5,VIP client
ORD-10383,2024-11-09,Notebook A5  Premium,office supplies,28,$13.17,368.76,EAST,SARAH WILLIAMS,Wholesale,Wire Transfer,0,
ORD-10301,14/08/2023,Wireless Mouse M-200,electronics,25,$31.19,779.75,,Fatima Al-Hassan,Online,Wire Transfer,10,
ORD-10114,18/07/2024,WebCam HD 1080P,electronics,34,$76.26,2592.84,Central,J. Chen,Wholesale,Check,0,Rush order
ORD-10042,"July 06, 2023",Laptop Pro  15,,32,"$1,436.86","$45,979.52",Este,A. Patel,Retail,Net 30,5,
ORD-10360,10-05-2024,ergonomic chair x1,Furniture,36,$559.13,$20128.68, North,David Kim,Wholesale,Credit Card,10,Return pending
ORD-10255,09/19/2024,USB-C Hub 7-Port,Elec.,36,$55.87,2011.32,west,"Chen, James",Online,Wire Transfer,15,VIP client
ORD-10195,06/29/2023,Standing Desk L-Shape,Furntiure,43,$910.56,39154.08,SOUTH,D. Kim,Online,Wire Transfer,15,
ORD-10332,14/04/2024,WEBCAM HD 1080P,,37,76.58,$2833.46,Sur,E. Vasquez,Online,Wire Transfer,,N/A
ORD-10329,07/16/2023,Laptop Pro 15,Electronic,13,1146.74,14907.62,Centro,THOMAS BROWN,Retail,Check,5,
ORD-10154,11-13-2024,Dual Monitor Arm,Furntiure,4,134.59,538.36,Norte,,Retail,Credit Card,10,Damaged in transit
ORD-10126,2024-01-25,PRINTER PAPER 5000CT,office supplies,41,37.31,1529.71,north,"Rodriguez, Maria",Online,PayPal,0,-
ORD-10298,07-25-2023,Webcam HD 1080p,Elec.,26,77.72,2020.72,C,F. Al-Hassan,Online,Check,10,Customer complaint
ORD-10386,08/05/2024,Keyboard Mechanical,electronics,24,132.58,"$3,181.92",Oeste,J. Chen,Retail,,,
ORD-10174,2024-07-03,Desk Lamp  LED,OFFICE SUPPLIES,7,$49.04,343.28,N,R. Johnson,Online,Net 30,20,n/a
ORD-10031,2024/03/12,Desk Lamp - LED,Office supplies,47,$50.29,2363.63,W, Carlos  Mendez ,Online,Net 30,,Customer complaint
ORD-10113,03/30/2023,Printer Paper 5000 ct,Office supplies,9,36.17,325.53,Oeste,james chen,Online,Credit Card,,none
ORD-10430,2023-02-11,KEYBOARD MECHANICAL,Electronic,8,160.41,"$1,283.28",NORTH,thomas brown,Corporate,Check,0,Return pending
ORD-10173,02/10/2024,USB-C  Hub 7-Port,Electronic,41,$52.35,2146.35,CENTRAL,,Wholesale,Wire Transfer,10,
ORD-10272,2024/10/06,webcam hd 1080p,Elec.,5,73.05,365.25,Sur, Elena  Vasquez ,Retail,Wire Transfer,0,none
ORD-10322,"July 23, 2023",ERGONOMIC CHAIR X1,Furniture,48,687.87,$33017.76,WEST,AISHA PATEL,Wholesale,Credit Card,0,VIP client
ORD-10057,"May 09, 2024",printer paper 5000ct,Office supplies,46,32.61,$1500.06,Centro,Sarah Williams,Online,PayPal,15,VIP client
ORD-10278,10-19-2023,Webcam HD 1080p,electronics,42,$73.62,3092.04,W, Thomas  Brown ,Online,Net 30,0,N/A
